gender,age_range,marital_status,disability,district,father_education,mother_education,household_members,economic_dependency,health_insurance,chronic_disease,academic_program,current_term,enrolled_courses,gpa,failed_course,class_attendance,career_satisfaction,personal_motivation,teacher_motivation,thought_about_dropout,dropout_reason,dropout_thought,transport,commute_time,internet_access,study_space,library_use,academic_tutoring,university_support,housing_type,personal_income,family_income,scholarship,currently_working,work_hours,affects_study,study_hours,university_harassment,demotivation,academic_stress,emotional_support
Femenino,21-25,Soltero(a),No,La Victoria,Secundaria,Primaria,1-3,Parcialmente dependiente,Privado,No,Ingeniería de Software,3.0,4-5,10-12,No,3.0,3.0,4.0,2.0,No,Vero dolores minima culpa enim amet.,No,Público,<30 min,Sí,Sí,,Sí,4.0,Propia,0,<1000,Sí,Sí,<10,Sí,5-10,Sí,Sí,No,Sí
Masculino,16-20,Soltero(a),No,Ate,Primaria,Secundaria,4-5,Mayormente dependiente,EsSalud,Sí,Ingeniería de Sistemas,5.0,4-5,10-12,No,4.0,3.0,2.0,3.0,No,Explicabo fugiat est pariatur nihil voluptatem quos esse eos voluptatum.,No,Público,>1 h,Sí,Sí,2.0,Sí,2.0,Propia,<500,>4000,No,No,<10,Sí,<5,No,Sí,Sí,No
Masculino,16-20,Soltero(a),No,Punta Negra,Secundaria,Primaria,1-3,Minimamente dependiente,Privado,No,Ingeniería de Software,9.0,4-5,10-12,No,2.0,3.0,2.0,4.0,No,Voluptates omnis ipsa dicta voluptatem magni at molestiae et cum voluptatem tempore ab.,No,Público,30-60 min,Sí,Sí,1.0,No,4.0,Propia,0,1000-2000,No,Sí,<10,Sí,5-10,No,No,No,No
Femenino,30+,Soltero(a),No,Pueblo Libre,Secundaria,Postgrado,1-3,Mayormente dependiente,Privado,No,Ingeniería de Sistemas,1.0,4-5,13-15,No,4.0,5.0,4.0,3.0,No,Incidunt nemo natus repellat excepturi omnis dolor nisi error.,No,Público,>1 h,No,Sí,4.0,Sí,3.0,Alojado,0,>4000,No,No,>20,Sí,5-10,Sí,Sí,Sí,Sí
Masculino,16-20,Casado(a),No,Carabayllo,Primaria,Secundaria,1-3,Mayormente dependiente,Privado,No,Ingeniería de Software,9.0,4-5,<10,Sí,4.0,2.0,3.0,2.0,No,Aliquam alias itaque veniam itaque aperiam quisquam asperiores.,No,Público,30-60 min,Sí,Sí,5.0,Sí,2.0,Alojado,500-1000,1000-2000,No,No,<10,Sí,>10,No,No,No,Sí
Masculino,16-20,Soltero(a),No,Carabayllo,Postgrado,Secundaria,1-3,Parcialmente dependiente,EsSalud,Sí,Ingeniería de Software,9.0,4-5,13-15,No,2.0,2.0,3.0,3.0,Sí,Exercitationem exercitationem architecto voluptatum rem autem illo.,Yes,Público,<30 min,Sí,Sí,2.0,No,1.0,Alojado,<500,<1000,,No,<10,No,<5,No,Sí,No,No
Masculino,21-25,Soltero(a),No,Rímac,Primaria,Postgrado,4-5,Parcialmente dependiente,EsSalud,No,Ingeniería de Software,7.0,3,<10,No,1.0,3.0,4.0,2.0,No,Maiores voluptate dolores libero facilis consequuntur dolor ipsum tempore.,No,Público,30-60 min,Sí,No,4.0,No,3.0,Alquilada,0,1000-2000,No,Sí,>20,No,<5,No,Sí,Sí,Sí
Masculino,16-20,Soltero(a),No,Santa Anita,Primaria,Primaria,1-3,Minimamente dependiente,SIS,Sí,Ingeniería de Software,9.0,3,13-15,No,4.0,4.0,4.0,5.0,No,Similique sed quisquam inventore perferendis nam.,,Público,30-60 min,Sí,Sí,4.0,No,4.0,Alojado,0,<1000,,Sí,10-20,No,<5,No,No,No,No
,21-25,Divorciado(a),No,Comas,Primaria,Universitario,1-3,No dependo económicamente,SIS,No,Ingeniería de Software,4.0,4-5,13-15,No,3.0,2.0,4.0,2.0,Sí,Placeat architecto sit esse recusandae in magni aliquam.,Yes,Público,>1 h,No,Sí,1.0,No,4.0,Alquilada,0,<1000,No,Sí,<10,Sí,5-10,No,No,Sí,Sí
Masculino,16-20,Casado(a),No,Pachacámac,Técnico,Universitario,6+,Parcialmente dependiente,Privado,No,Ingeniería de Sistemas,4.0,6 o más,10-12,No,4.0,2.0,3.0,3.0,Sí,Earum provident a distinctio illum velit rem recusandae pariatur.,Yes,Privado,30-60 min,Sí,Sí,4.0,Sí,4.0,Propia,<500,1000-2000,No,Sí,10-20,Sí,5-10,No,Sí,No,Sí
Masculino,21-25,Casado(a),No,Ancón,Primaria,Primaria,1-3,Totalmente dependiente,EsSalud,No,Ingeniería de Software,7.0,4-5,10-12,Sí,3.0,3.0,4.0,3.0,No,Inventore illo consectetur minima modi consequatur eos.,No,Público,<30 min,Sí,Sí,4.0,No,3.0,Propia,>1000,<1000,No,No,>20,Sí,5-10,No,No,Sí,No
Masculino,21-25,Soltero(a),No,Barranco,Secundaria,Técnico,4-5,Totalmente dependiente,EsSalud,No,Ingeniería de Sistemas,6.0,4-5,13-15,No,1.0,5.0,4.0,4.0,Sí,Soluta iusto aliquam quidem sit earum ea suscipit molestiae.,Yes,Público,>1 h,Sí,Sí,1.0,Sí,4.0,Alquilada,<500,1000-2000,Sí,Sí,<10,Sí,<5,No,Sí,No,Sí
Masculino,21-25,Soltero(a),No,,Secundaria,Primaria,1-3,Mayormente dependiente,EsSalud,No,Ingeniería de Software,6.0,4-5,13-15,No,3.0,4.0,3.0,4.0,No,Sequi animi autem dolore quod officiis.,No,Público,30-60 min,Sí,Sí,1.0,Sí,4.0,Alquilada,500-1000,1000-2000,Sí,Sí,<10,Sí,5-10,No,No,No,Sí
Masculino,16-20,Soltero(a),No,Lurín,Secundaria,Secundaria,1-3,Parcialmente dependiente,SIS,No,Ingeniería de Software,4.0,4-5,13-15,Sí,4.0,4.0,5.0,5.0,No,Esse amet maxime recusandae pariatur vitae nulla dignissimos quis atque.,No,Público,>1 h,Sí,Sí,4.0,No,5.0,Alquilada,0,1000-2000,No,No,<10,Sí,<5,No,Sí,No,No
Masculino,21-25,Divorciado(a),No,Jesús María,Secundaria,Secundaria,4-5,Mayormente dependiente,Privado,No,Ingeniería de Sistemas,2.0,4-5,13-15,No,3.0,1.0,4.0,4.0,No,Odio laborum enim minima possimus animi.,No,Público,>1 h,Sí,Sí,3.0,No,3.0,Alquilada,0,1000-2000,Sí,No,<10,Sí,5-10,No,No,Sí,Sí
Masculino,16-20,Soltero(a),No,Chorrillos,Primaria,Primaria,1-3,Totalmente dependiente,SIS,No,Ingeniería de Software,9.0,6 o más,16+,No,2.0,3.0,2.0,2.0,No,Assumenda perferendis nulla culpa expedita quibusdam dicta recusandae quam eius vero maxime.,No,Público,30-60 min,Sí,No,1.0,Sí,,Propia,<500,1000-2000,No,Sí,<10,No,<5,No,Sí,No,No
Masculino,16-20,Soltero(a),No,Punta Hermosa,Secundaria,Secundaria,4-5,No dependo económicamente,Ninguno,No,Ingeniería de Software,1.0,3,16+,Sí,4.0,2.0,4.0,3.0,No,Dignissimos a cum quia error eligendi modi minus unde cupiditate.,No,Privado,>1 h,Sí,No,,No,3.0,Residencia,0,1000-2000,No,Sí,<10,No,5-10,No,Sí,No,Sí
Masculino,21-25,Soltero(a),No,Miraflores,Técnico,Secundaria,,Parcialmente dependiente,Ninguno,No,Ingeniería de Sistemas,8.0,3,13-15,No,5.0,1.0,4.0,4.0,Sí,Fugit nam commodi nostrum eos et.,,Público,30-60 min,Sí,Sí,2.0,Sí,5.0,Alquilada,,<1000,No,No,<10,Sí,5-10,No,No,No,No
Masculino,16-20,Casado(a),Sí,Lima Cercado,Postgrado,Universitario,6+,Mayormente dependiente,EsSalud,No,Ingeniería de Software,10.0,4-5,<10,Sí,5.0,5.0,1.0,4.0,No,Veniam aut quod magni numquam corrupti qui.,No,Público,30-60 min,,Sí,3.0,No,3.0,Residencia,500-1000,1000-2000,No,Sí,<10,No,<5,No,No,No,No
Masculino,21-25,Soltero(a),No,Jesús María,Técnico,Secundaria,6+,Mayormente dependiente,Privado,No,Ingeniería de Software,5.0,4-5,13-15,No,4.0,3.0,3.0,4.0,Sí,Error corporis architecto eius libero repellendus veritatis ratione aspernatur.,Yes,Público,>1 h,Sí,Sí,2.0,No,2.0,Alquilada,0,<1000,No,Sí,>20,Sí,5-10,No,Sí,No,Sí
Masculino,21-25,,No,San Borja,Primaria,Universitario,4-5,,Ninguno,No,Ingeniería de Sistemas,8.0,3,10-12,Sí,4.0,2.0,3.0,3.0,No,Quis distinctio sit labore suscipit quisquam quam provident.,No,Público,,Sí,Sí,3.0,No,1.0,Alquilada,500-1000,<1000,No,No,<10,No,<5,No,No,,Sí
Masculino,21-25,Soltero(a),No,San Luis,Secundaria,Primaria,1-3,Parcialmente dependiente,Privado,No,Ingeniería de Sistemas,9.0,3,13-15,Sí,2.0,3.0,4.0,4.0,No,Corporis vel quae accusantium laborum cumque quis.,No,Privado,30-60 min,Sí,Sí,3.0,No,2.0,Alojado,0,<1000,No,,<10,No,,No,,Sí,No
Masculino,21-25,Casado(a),No,Breña,Primaria,Secundaria,1-3,No dependo económicamente,EsSalud,No,Ingeniería de Software,10.0,3,16+,No,3.0,1.0,,4.0,Sí,Rem eius animi corrupti excepturi dicta animi.,Yes,Público,30-60 min,Sí,,1.0,No,4.0,Propia,0,>4000,Sí,No,<10,No,5-10,No,No,Sí,Sí
Masculino,16-20,Soltero(a),No,Pueblo Libre,Secundaria,Universitario,4-5,Mayormente dependiente,EsSalud,No,Ingeniería de Software,9.0,4-5,13-15,No,,2.0,2.0,2.0,No,Labore nihil vel officia nemo a minus illum vel aliquam occaecati maiores.,No,Privado,30-60 min,,Sí,4.0,Sí,2.0,Propia,0,1000-2000,No,No,>20,Sí,>10,No,Sí,No,No
Masculino,16-20,Soltero(a),No,Punta Negra,Secundaria,Secundaria,1-3,Mayormente dependiente,EsSalud,No,Ingeniería de Software,5.0,4-5,16+,,3.0,4.0,3.0,5.0,No,Numquam saepe quam iure iusto dolores eligendi.,No,A pie,<30 min,Sí,No,2.0,No,1.0,Propia,,1000-2000,No,Sí,<10,No,<5,No,Sí,Sí,Sí
Masculino,21-25,Soltero(a),No,Ate,Secundaria,Técnico,1-3,Parcialmente dependiente,,No,Ingeniería de Software,4.0,4-5,<10,No,4.0,2.0,3.0,3.0,No,Eius alias esse consequatur veniam debitis nihil modi optio.,,Público,<30 min,Sí,Sí,2.0,No,4.0,Propia,0,<1000,No,No,<10,,5-10,No,No,Sí,No
Masculino,,Soltero(a),No,Rímac,Secundaria,Técnico,6+,Minimamente dependiente,Ninguno,No,Ingeniería de Sistemas,5.0,4-5,13-15,Sí,3.0,1.0,4.0,2.0,No,Unde non nam ipsum minus culpa ipsam corrupti consequuntur doloremque neque sint facilis.,No,Privado,<30 min,No,Sí,1.0,No,3.0,Residencia,500-1000,2000-4000,No,No,<10,No,5-10,Sí,No,No,Sí
Masculino,16-20,Soltero(a),No,Chorrillos,Secundaria,Secundaria,6+,,Privado,No,Ingeniería de Software,4.0,4-5,10-12,No,5.0,2.0,4.0,4.0,No,Quia eum tempora harum voluptatem soluta.,No,Privado,<30 min,Sí,Sí,1.0,No,5.0,Propia,0,<1000,No,No,>20,No,5-10,No,Sí,Sí,Sí
Femenino,21-25,Casado(a),No,Santa Rosa,Primaria,,1-3,Totalmente dependiente,Privado,No,Ingeniería de Software,4.0,4-5,16+,No,3.0,3.0,3.0,5.0,No,Eum totam cum minima ducimus quibusdam possimus.,No,Público,30-60 min,Sí,Sí,3.0,No,5.0,Propia,0,2000-4000,No,Sí,<10,No,<5,No,Sí,No,Sí
Masculino,16-20,Soltero(a),No,Cieneguilla,Secundaria,Primaria,6+,No dependo económicamente,EsSalud,Sí,Ingeniería de Software,9.0,6 o más,10-12,Sí,4.0,3.0,4.0,3.0,Sí,Doloremque aperiam eveniet porro voluptate blanditiis assumenda illo illum voluptatibus similique nisi temporibus.,Yes,Privado,>1 h,Sí,Sí,4.0,No,2.0,Alojado,500-1000,>4000,No,Sí,10-20,No,5-10,Sí,,Sí,No
Masculino,21-25,Soltero(a),No,Lima Cercado,Técnico,Secundaria,6+,Mayormente dependiente,Ninguno,No,Ingeniería de Software,1.0,6 o más,13-15,No,3.0,5.0,5.0,4.0,No,Ea veritatis porro ullam nostrum voluptas.,No,Público,30-60 min,Sí,,2.0,No,1.0,Propia,0,1000-2000,No,,<10,Sí,>10,No,No,No,Sí
Masculino,16-20,Soltero(a),No,Pucusana,Técnico,Secundaria,4-5,Minimamente dependiente,Privado,Sí,Ingeniería de Software,5.0,4-5,10-12,,4.0,2.0,4.0,2.0,No,Officiis sit amet eum unde eligendi aliquam maiores tenetur.,No,Público,30-60 min,Sí,Sí,4.0,Sí,2.0,Propia,<500,<1000,No,Sí,>20,Sí,5-10,,Sí,No,
Masculino,21-25,Soltero(a),No,Miraflores,Primaria,Técnico,6+,Parcialmente dependiente,SIS,No,Ingeniería de Sistemas,,4-5,13-15,No,4.0,2.0,4.0,1.0,Sí,Velit explicabo harum recusandae accusamus explicabo.,Yes,Público,>1 h,Sí,No,3.0,Sí,1.0,Propia,0,<1000,No,Sí,,No,5-10,No,No,No,Sí
Femenino,16-20,Otro,No,Pucusana,Secundaria,Primaria,4-5,Mayormente dependiente,Ninguno,No,Ingeniería de Software,2.0,4-5,<10,No,,3.0,4.0,4.0,No,Odit id sapiente tempore eos pariatur saepe quam unde rem.,No,Privado,<30 min,,Sí,5.0,No,3.0,Alquilada,0,2000-4000,No,No,<10,No,>10,No,No,Sí,Sí
Masculino,26-30,Soltero(a),No,Santa Anita,Primaria,Secundaria,4-5,Mayormente dependiente,EsSalud,No,Ingeniería de Software,5.0,4-5,13-15,No,3.0,3.0,3.0,3.0,No,Vero molestias nostrum ut similique placeat fugit cum.,No,Privado,30-60 min,No,No,4.0,No,2.0,Propia,0,1000-2000,Sí,No,>20,Sí,5-10,No,Sí,No,No
Masculino,26-30,Soltero(a),No,La Molina,Secundaria,Primaria,1-3,Mayormente dependiente,EsSalud,No,Ingeniería de Sistemas,9.0,4-5,10-12,Sí,4.0,2.0,2.0,4.0,No,Officiis aspernatur beatae quas odio voluptate mollitia quae itaque neque velit error esse quia.,No,Privado,,Sí,No,1.0,No,2.0,,,2000-4000,,No,<10,No,5-10,No,Sí,Sí,
Masculino,21-25,Soltero(a),No,Ate,Primaria,Secundaria,4-5,Totalmente dependiente,EsSalud,No,Ingeniería de Sistemas,7.0,3,16+,Sí,4.0,2.0,4.0,4.0,No,Nulla odio corrupti hic doloribus tempora.,No,Privado,<30 min,Sí,Sí,1.0,No,3.0,Alojado,0,1000-2000,No,No,<10,No,5-10,No,,Sí,Sí
Masculino,26-30,Casado(a),No,Pueblo Libre,Postgrado,Secundaria,4-5,Minimamente dependiente,SIS,No,Ingeniería de Software,1.0,4-5,13-15,Sí,4.0,3.0,4.0,4.0,No,Delectus deleniti neque distinctio omnis hic ipsa provident commodi sequi similique.,No,Privado,30-60 min,Sí,Sí,2.0,,3.0,Propia,0,1000-2000,Sí,No,<10,Sí,<5,No,Sí,Sí,Sí
Masculino,26-30,Soltero(a),No,Chaclacayo,Técnico,Universitario,4-5,Totalmente dependiente,EsSalud,No,Ingeniería de Software,7.0,4-5,10-12,No,4.0,1.0,2.0,3.0,Sí,Qui pariatur dicta debitis sit cumque officia non ipsam numquam.,Yes,Público,<30 min,Sí,No,2.0,No,3.0,Propia,500-1000,>4000,No,No,<10,Sí,<5,No,Sí,Sí,Sí
Masculino,16-20,Soltero(a),No,Pachacámac,Universitario,Técnico,1-3,Minimamente dependiente,Ninguno,Sí,Ingeniería de Software,2.0,3,10-12,Sí,,2.0,2.0,4.0,No,Autem distinctio fuga animi soluta facere porro cum modi sint.,No,Privado,30-60 min,Sí,Sí,2.0,No,5.0,Alquilada,0,>4000,No,Sí,<10,Sí,<5,,No,Sí,Sí
,,Soltero(a),No,San Martín de Porres,Técnico,Primaria,1-3,Parcialmente dependiente,EsSalud,No,Ingeniería de Software,6.0,6 o más,13-15,No,4.0,4.0,4.0,3.0,No,Pariatur quae laboriosam magnam neque minus maxime laborum esse aspernatur voluptate officia velit.,No,Público,<30 min,No,Sí,4.0,No,3.0,Alquilada,>1000,1000-2000,No,No,>20,Sí,<5,No,Sí,Sí,No
Masculino,21-25,Soltero(a),No,Puente Piedra,Primaria,Secundaria,6+,Totalmente dependiente,EsSalud,No,Ingeniería de Software,6.0,6 o más,13-15,Sí,3.0,4.0,4.0,,No,Aliquid repudiandae dicta sit assumenda ea voluptate.,No,Público,<30 min,Sí,Sí,4.0,No,2.0,Propia,0,>4000,No,No,>20,No,<5,Sí,Sí,No,No
Femenino,26-30,Soltero(a),No,Lurín,Secundaria,,4-5,Mayormente dependiente,EsSalud,No,,2.0,4-5,13-15,Sí,3.0,2.0,4.0,4.0,No,Nam corporis ipsa illo velit blanditiis.,No,Público,30-60 min,Sí,Sí,2.0,No,3.0,Alojado,0,<1000,No,No,<10,Sí,5-10,No,,No,No
Masculino,21-25,Soltero(a),No,San Martín de Porres,Técnico,,4-5,Mayormente dependiente,Privado,No,Ingeniería de Sistemas,9.0,4-5,13-15,No,4.0,4.0,4.0,2.0,Sí,Fugiat neque porro ipsam eveniet facilis deleniti ab.,Yes,Público,30-60 min,Sí,Sí,2.0,Sí,,Alquilada,<500,,No,Sí,<10,Sí,<5,No,No,Sí,
Femenino,21-25,Casado(a),No,La Molina,Primaria,Secundaria,4-5,Totalmente dependiente,Ninguno,Sí,Ingeniería de Software,1.0,4-5,16+,No,4.0,5.0,3.0,3.0,Sí,Asperiores est laboriosam nesciunt harum quae aspernatur labore dolorem eius.,,Público,<30 min,Sí,Sí,1.0,No,3.0,Alquilada,0,2000-4000,Sí,Sí,<10,No,<5,No,No,Sí,Sí
Femenino,26-30,Soltero(a),No,Santiago de Surco,Secundaria,Primaria,1-3,No dependo económicamente,SIS,Sí,Ingeniería de Software,,4-5,13-15,Sí,2.0,3.0,1.0,4.0,Sí,Optio aut suscipit qui neque ducimus quas excepturi amet minima magni tempore.,Yes,Público,30-60 min,Sí,Sí,1.0,Sí,3.0,Propia,500-1000,<1000,Sí,No,10-20,Sí,<5,Sí,No,No,No
Femenino,26-30,Soltero(a),No,Lima Cercado,Secundaria,Secundaria,1-3,Totalmente dependiente,Ninguno,No,Ingeniería de Software,,3,13-15,Sí,3.0,,1.0,5.0,No,Facilis dicta in illo rerum harum quis dolor veritatis.,No,,<30 min,Sí,Sí,3.0,No,3.0,Alquilada,0,<1000,No,No,<10,Sí,5-10,Sí,Sí,Sí,
Masculino,21-25,Soltero(a),No,Rímac,Primaria,Secundaria,1-3,Mayormente dependiente,EsSalud,No,,8.0,4-5,<10,No,2.0,4.0,3.0,5.0,Sí,Ipsa voluptas molestiae amet porro quia.,Yes,Público,30-60 min,Sí,Sí,4.0,No,4.0,Alquilada,0,<1000,No,No,<10,Sí,5-10,No,No,Sí,No
Masculino,21-25,Soltero(a),No,San Isidro,Primaria,Secundaria,1-3,Mayormente dependiente,Privado,No,Ingeniería de Software,3.0,3,13-15,No,5.0,4.0,3.0,4.0,No,Voluptas neque vero dignissimos harum deserunt mollitia quas ullam similique rerum aliquam.,No,Público,<30 min,Sí,Sí,3.0,No,4.0,Propia,500-1000,1000-2000,No,No,<10,Sí,<5,No,No,No,No
Masculino,21-25,Soltero(a),No,Puente Piedra,Postgrado,Universitario,1-3,Parcialmente dependiente,,No,Ingeniería de Software,6.0,6 o más,<10,No,5.0,4.0,3.0,4.0,No,Quam esse accusamus ducimus hic ea reiciendis aspernatur voluptate cupiditate itaque error veritatis.,No,Privado,>1 h,Sí,Sí,2.0,No,2.0,Alquilada,0,<1000,No,No,10-20,Sí,>10,No,No,No,
Masculino,21-25,Soltero(a),No,Punta Hermosa,,,4-5,Mayormente dependiente,EsSalud,No,Ingeniería de Software,8.0,4-5,13-15,No,4.0,5.0,3.0,4.0,No,Animi eveniet accusantium voluptates praesentium accusantium sit mollitia.,No,Público,30-60 min,Sí,Sí,3.0,Sí,4.0,Propia,0,1000-2000,No,No,10-20,No,5-10,No,No,No,No
Masculino,16-20,Soltero(a),No,San Miguel,Secundaria,Universitario,1-3,Minimamente dependiente,EsSalud,No,Ingeniería de Software,3.0,6 o más,<10,No,2.0,4.0,5.0,2.0,Sí,Ullam odit nulla harum harum quas.,,Público,<30 min,Sí,Sí,4.0,No,5.0,Alquilada,500-1000,<1000,Sí,No,<10,Sí,<5,No,No,Sí,No
Masculino,16-20,Soltero(a),No,Barranco,Secundaria,Técnico,4-5,No dependo económicamente,EsSalud,No,Ingeniería de Software,5.0,4-5,16+,Sí,4.0,2.0,2.0,3.0,No,Delectus sint laborum explicabo beatae iusto ipsam adipisci.,No,Público,>1 h,Sí,Sí,1.0,No,3.0,Propia,,1000-2000,No,No,>20,Sí,<5,No,No,No,No
,16-20,Soltero(a),No,Pucusana,Secundaria,Técnico,4-5,Mayormente dependiente,EsSalud,No,Ingeniería de Sistemas,5.0,3,<10,No,4.0,1.0,4.0,4.0,No,Nobis quasi delectus et rem tempore sit adipisci dolores debitis omnis commodi.,No,Público,30-60 min,Sí,Sí,2.0,Sí,2.0,Alojado,<500,<1000,Sí,No,>20,Sí,<5,No,No,Sí,No
Femenino,21-25,Soltero(a),No,Independencia,Primaria,Técnico,1-3,Parcialmente dependiente,EsSalud,Sí,Ingeniería de Software,2.0,4-5,10-12,Sí,3.0,5.0,2.0,1.0,No,Quos labore recusandae iusto dolore sunt corrupti laborum perspiciatis.,No,A pie,>1 h,Sí,Sí,2.0,No,4.0,Propia,500-1000,2000-4000,No,No,<10,Sí,5-10,No,Sí,Sí,Sí
Masculino,16-20,Soltero(a),No,Chorrillos,Primaria,Primaria,,Totalmente dependiente,Ninguno,Sí,Ingeniería de Sistemas,3.0,6 o más,<10,No,4.0,4.0,4.0,4.0,No,Ipsam nisi reiciendis unde soluta error atque.,No,Público,30-60 min,Sí,Sí,2.0,Sí,4.0,Residencia,<500,2000-4000,No,No,,No,5-10,No,No,No,Sí
Masculino,16-20,Otro,No,San Juan de Miraflores,Primaria,Universitario,4-5,Parcialmente dependiente,SIS,No,Ingeniería de Sistemas,3.0,4-5,10-12,No,3.0,5.0,4.0,2.0,No,Fuga quibusdam fugit totam doloremque ipsam repellendus nihil.,No,Público,>1 h,No,Sí,,No,5.0,Propia,<500,<1000,No,Sí,>20,Sí,5-10,No,Sí,Sí,Sí
Masculino,16-20,Casado(a),No,Santa María del Mar,Secundaria,Primaria,1-3,Mayormente dependiente,Privado,No,Ingeniería de Software,8.0,6 o más,13-15,Sí,3.0,4.0,4.0,5.0,No,Quam quam nobis adipisci consequuntur maiores distinctio quae dolorem aliquam est.,No,Público,<30 min,Sí,Sí,1.0,No,5.0,Propia,500-1000,<1000,No,Sí,10-20,Sí,<5,No,No,Sí,No
Masculino,16-20,Soltero(a),No,Villa María del Triunfo,Primaria,Técnico,1-3,Totalmente dependiente,Privado,No,Ingeniería de Sistemas,2.0,3,10-12,Sí,3.0,5.0,1.0,3.0,No,Vel minus dolore at iusto earum dolores expedita.,No,A pie,<30 min,Sí,Sí,5.0,No,3.0,Alojado,500-1000,<1000,,No,10-20,No,>10,No,Sí,Sí,Sí
Masculino,21-25,,No,Rímac,Universitario,Secundaria,1-3,Totalmente dependiente,SIS,No,Ingeniería de Sistemas,6.0,4-5,13-15,No,2.0,4.0,4.0,,Sí,Accusantium autem vitae odio deleniti consequuntur officiis.,Yes,Público,30-60 min,Sí,Sí,1.0,No,2.0,Alquilada,0,2000-4000,No,Sí,>20,No,5-10,No,No,Sí,Sí
Masculino,26-30,Casado(a),No,Cieneguilla,Secundaria,Primaria,1-3,Mayormente dependiente,Privado,Sí,Ingeniería de Software,5.0,4-5,10-12,No,4.0,4.0,2.0,4.0,,Soluta ullam repellendus tempore neque blanditiis omnis impedit.,No,Público,<30 min,No,Sí,1.0,No,3.0,Propia,0,<1000,Sí,Sí,<10,Sí,<5,No,No,No,
Masculino,,Soltero(a),No,Surquillo,Primaria,Universitario,1-3,Parcialmente dependiente,SIS,No,Ingeniería de Software,10.0,4-5,13-15,No,5.0,4.0,4.0,5.0,No,Enim aut ratione eos aut ut provident totam sunt sed beatae repudiandae.,No,Privado,<30 min,Sí,Sí,2.0,No,3.0,Alquilada,500-1000,1000-2000,No,No,,Sí,<5,No,Sí,No,No
Masculino,16-20,Casado(a),No,Santa María del Mar,Secundaria,Primaria,1-3,Totalmente dependiente,EsSalud,No,Ingeniería de Software,6.0,6 o más,13-15,No,1.0,3.0,4.0,3.0,No,Aut aspernatur harum tempora eaque aliquid qui dolorum pariatur minima accusamus in.,No,Privado,>1 h,Sí,Sí,4.0,No,2.0,Residencia,0,<1000,,Sí,10-20,Sí,5-10,No,No,No,No
Masculino,16-20,Otro,No,Puente Piedra,Secundaria,Postgrado,1-3,Totalmente dependiente,Privado,No,Ingeniería de Sistemas,10.0,6 o más,<10,No,4.0,3.0,5.0,2.0,No,Aspernatur numquam temporibus voluptates labore minima consequatur ipsa sapiente voluptatibus natus eos.,No,Privado,<30 min,Sí,Sí,3.0,No,3.0,Alojado,<500,<1000,No,No,10-20,No,<5,No,Sí,No,Sí
Masculino,26-30,Soltero(a),No,Santiago de Surco,Primaria,Secundaria,1-3,,SIS,No,Ingeniería de Sistemas,9.0,4-5,13-15,No,4.0,,2.0,,Sí,Dolorum reiciendis ipsa explicabo voluptatum omnis corrupti error expedita aspernatur.,Yes,Público,30-60 min,Sí,Sí,2.0,No,4.0,Alquilada,0,<1000,,Sí,10-20,Sí,<5,No,Sí,Sí,Sí
Masculino,26-30,Soltero(a),,Pachacámac,Primaria,Primaria,4-5,Minimamente dependiente,EsSalud,No,Ingeniería de Software,10.0,4-5,13-15,No,4.0,5.0,4.0,5.0,No,Quis assumenda blanditiis accusamus voluptates ab non harum laborum consectetur ipsam odit deleniti.,No,A pie,<30 min,Sí,Sí,3.0,No,3.0,Alquilada,0,<1000,Sí,No,>20,Sí,<5,Sí,Sí,Sí,Sí
Femenino,16-20,Soltero(a),No,Villa María del Triunfo,Universitario,Técnico,1-3,Minimamente dependiente,Ninguno,Sí,Ingeniería de Sistemas,9.0,4-5,10-12,Sí,5.0,4.0,4.0,,No,Odio quo architecto soluta cupiditate eos officiis quam voluptatibus dolorum corporis aut.,No,Público,30-60 min,No,Sí,5.0,No,4.0,Alquilada,0,1000-2000,No,No,<10,No,5-10,Sí,No,No,No
Femenino,16-20,Casado(a),No,San Isidro,Secundaria,Secundaria,6+,Mayormente dependiente,SIS,No,Ingeniería de Software,4.0,4-5,,No,2.0,3.0,4.0,5.0,No,Eum architecto suscipit minus ea voluptatum explicabo tempora laborum itaque.,No,,30-60 min,Sí,Sí,1.0,Sí,4.0,Alquilada,0,1000-2000,No,Sí,<10,No,>10,,No,Sí,No
Masculino,21-25,Soltero(a),No,Breña,Secundaria,Postgrado,1-3,Mayormente dependiente,SIS,No,Ingeniería de Software,4.0,4-5,13-15,Sí,3.0,1.0,4.0,4.0,No,Autem fugit fuga qui numquam ut provident perferendis distinctio.,No,Público,30-60 min,Sí,Sí,3.0,No,3.0,Alquilada,0,2000-4000,No,No,<10,No,5-10,No,No,No,No
Masculino,26-30,Soltero(a),No,San Martín de Porres,Técnico,Primaria,1-3,Mayormente dependiente,EsSalud,No,Ingeniería de Software,9.0,4-5,<10,No,3.0,4.0,4.0,3.0,No,Consectetur incidunt optio magnam facilis aut consectetur maxime soluta laudantium.,No,Público,<30 min,Sí,Sí,4.0,No,3.0,Propia,<500,1000-2000,No,Sí,10-20,No,5-10,No,No,Sí,No
